Taille image;Nombre de points;Cycles scalaire;Cycles SIMD naif;Cycles SIMD opti;Cycles SIMD fusion;
161x161;25921;909260;106985;63786;42464;
162x162;26244;990036;124678;63577;58013;
163x163;26569;1100393;125374;47150;43096;
164x164;26896;1133140;171621;64603;58732;
165x165;27225;958122;128612;47850;43562;
166x166;27556;1122504;110505;48036;43924;
167x167;27889;983313;110954;48246;57894;
168x168;28224;1139277;111648;65854;60068;
169x169;28561;1009173;149704;66414;60366;
170x170;28900;1226744;112983;49116;44722;
171x171;29241;1036777;113514;66974;60993;
172x172;29584;1046604;114194;49522;45273;
173x173;29929;1108870;133043;68008;61944;
174x174;30276;1293004;181830;70044;62232;
175x175;30625;1255382;116066;50228;46042;
176x176;30976;1099120;135206;68819;62823;
177x177;31329;1366910;117444;50856;63208;
178x178;31684;1124063;117960;50974;46706;
179x179;32041;1171238;186402;69386;63672;
180x180;32400;1354808;121496;51402;47150;
181x181;32761;1237159;138942;67610;72782;
182x182;33124;1179689;120646;73342;67207;
183x183;33489;1353374;121416;74900;55500;
184x184;33856;1354394;191550;110862;65481;
185x185;34225;1376382;122540;62653;68092;
186x186;34596;1237522;123203;57060;66146;
187x187;34969;1483426;123877;53352;49140;
188x188;35344;1289516;185064;80940;72586;
189x189;35721;1460736;159426;73124;49450;
190x190;36100;1304572;145936;54268;49928;
191x191;36481;1402916;146430;54744;50036;
192x192;36864;1417492;127096;54589;50168;
193x193;37249;1394655;142650;53079;48480;
194x194;37636;1551446;143562;71811;65891;
195x195;38025;1603194;126999;53224;48724;
196x196;38416;1479515;144676;72389;49024;
197x197;38809;1392958;125580;53552;49155;
198x198;39204;1615042;146521;74063;67436;
199x199;39601;1424885;127058;54592;50017;
200x200;40000;1738702;147815;74818;68060;
201x201;40401;1508270;178346;74545;68351;
202x202;40804;1551856;128998;55340;50804;
203x203;41209;1563357;129520;78878;70987;
204x204;41616;1690350;132245;77196;71664;
205x205;42025;1581348;156616;76052;75384;
206x206;42436;1605322;136245;56310;69854;
207x207;42849;1929770;132020;56666;70227;
208x208;43264;1811062;132781;56976;52058;
209x209;43681;1807158;133206;57072;52134;
210x210;44100;1805833;154972;57329;52392;
211x211;44521;1743845;232051;78168;71547;
212x212;44944;1679522;212306;78529;71754;
213x213;45369;1715112;136364;58787;53657;
214x214;45796;1736016;136996;59106;73304;
215x215;46225;1746551;159360;59320;54130;
216x216;46656;1778117;160094;59588;54388;
217x217;47089;1826902;160812;59871;54732;
218x218;47524;1819121;161533;60138;74459;
219x219;47961;2257904;256985;95663;87319;
220x220;48400;1944684;162997;60620;55486;
221x221;48841;1816328;163801;60908;53101;
222x222;49284;1884422;166660;61154;55872;
223x223;49729;1978746;142688;61410;56040;
224x224;50176;1926512;351060;130162;118915;
225x225;50625;1958798;166646;61946;56432;
226x226;51076;1940396;227362;84296;77257;
227x227;51529;1974332;168147;62465;57069;
228x228;51984;1959027;229170;84998;77778;
229x229;52441;1970849;169564;85332;57656;
230x230;52900;1983714;147098;63173;57783;
231x231;53361;1998016;177438;73386;58051;
232x232;53824;2006853;171992;63830;58406;
233x233;54289;2019328;193310;77107;79512;
234x234;54756;2108974;151612;64364;58786;
235x235;55225;2097420;196833;64614;59106;
236x236;55696;2283157;150902;64728;59280;
237x237;56169;2127672;151540;58882;56970;
238x238;56644;2122846;152160;60309;55208;
239x239;57121;2128451;152802;56632;60018;
240x240;57600;2231119;241108;65750;60255;
241x241;58081;2220313;154067;66345;70155;
242x242;58564;2193309;154720;59736;64557;
243x243;59049;2263030;179846;79182;70348;
244x244;59536;2302602;180600;66862;61359;
245x245;60025;2540649;181298;60190;61478;
246x246;60516;2395617;182065;67473;61726;
247x247;61009;2369850;164180;67666;62069;
248x248;61504;2361328;158490;67900;62085;
249x249;62001;2496830;184230;68174;62460;
250x250;62500;2466468;159764;68534;55886;
251x251;63001;2448957;238863;68683;85474;
252x252;63504;2409549;253059;91104;63214;
253x253;64009;2485821;161666;69282;63576;
254x254;64516;2501342;187943;69404;97346;
255x255;65025;2440114;162909;60293;55250;
256x256;65536;2438762;189372;60622;55565;
257x257;66049;2483404;277678;150324;93020;
258x258;66564;2479732;240532;95419;80446;
259x259;67081;2637027;279836;101012;80896;
260x260;67600;2589834;242520;87526;81254;
261x261;68121;2631237;247055;138102;94216;
262x262;68644;2686990;247070;88340;94760;
263x263;69169;2642722;283776;102515;82219;
264x264;69696;2920233;246262;89039;82353;
265x265;70225;2678640;250392;103390;95812;
266x266;70756;2683732;248090;89638;92955;
267x267;71289;3122392;288303;104182;83180;
268x268;71824;2837176;249836;90192;136262;
269x269;72361;2850796;290412;104836;131834;
270x270;72900;2744438;251881;90950;84180;
271x271;73441;2957886;252797;91194;84595;
272x272;73984;2855137;253710;91540;84776;
273x273;74529;2972756;254638;91902;85085;
274x274;75076;2957326;401623;144946;85527;
275x275;75625;2943234;256534;92562;85699;
276x276;76176;2942077;298054;107548;135505;
277x277;76729;3247124;258282;93141;86570;
278x278;77284;3038039;300137;93480;86767;
279x279;77841;2980218;260148;108770;87068;
280x280;78400;3293284;302252;94174;87562;
281x281;78961;3048474;426687;159226;158232;
282x282;79524;3071062;304382;123056;101654;
283x283;80089;3006972;263809;95028;88246;
284x284;80656;3125995;306598;110646;102392;
285x285;81225;3070940;265694;110994;88742;
286x286;81796;3172009;419007;150876;103252;
287x287;82369;3135906;267342;96565;89340;
288x288;82944;3191389;310864;112112;106548;
289x289;83521;3237316;269192;97289;90294;
290x290;84100;3157218;270120;97572;104828;
291x291;84681;3216681;271234;97916;90734;
292x292;85264;3312187;271950;98084;94181;
293x293;85849;3315916;272899;111720;91330;
294x294;86436;3288497;274024;98786;91712;
295x295;87025;3366796;318412;99116;92139;
296x296;87616;3489619;319410;115336;106680;
297x297;88209;3340818;365170;115636;107292;
298x298;88804;3351428;277743;100118;92892;
299x299;89401;3459948;438044;100472;93050;
300x300;90000;3462126;323700;116708;108086;
301x301;90601;3707546;280532;100980;94015;
302x302;91204;3522624;281451;101330;93967;
303x303;91809;3607984;282336;101690;94298;
304x304;92416;3667650;283292;102082;94738;
305x305;93025;3956328;284235;102390;95095;
306x306;93636;3686698;285176;102664;95201;
307x307;94249;3711717;287702;102948;95844;
308x308;94864;3654798;287009;103307;96010;
309x309;95481;3769751;287774;103619;96283;
310x310;96100;3823473;288854;104001;96744;
311x311;96721;3795122;289793;104355;96928;
312x312;97344;3822829;290694;104454;97248;
313x313;97969;3675306;291653;328947;97636;
314x314;98596;3755714;292580;105158;97798;
315x315;99225;3816910;688497;215846;121147;
316x316;99856;4108078;340918;122536;114122;
317x317;100489;3812584;295360;106105;98719;
318x318;101124;3856401;296284;106451;99046;
319x319;101761;3907080;297194;106870;99480;
320x320;102400;3934916;298150;107271;116891;
321x321;103041;4261720;291558;104824;96970;
322x322;103684;4225848;292486;121612;97184;
323x323;104329;4071457;293382;105408;112890;
324x324;104976;4001015;294287;105826;97949;
325x325;105625;4252880;341522;122562;113549;
326x326;106276;4045258;295836;120622;98176;
327x327;106929;4329687;296738;106744;98475;
328x328;107584;4226303;297464;107066;98918;
329x329;108241;4348931;298327;107390;99103;
330x330;108900;4432590;299441;107412;99378;
331x331;109561;4406368;300312;107860;99814;
332x332;110224;4183232;301222;108324;99942;
333x333;110889;4191391;302172;108641;100254;
334x334;111556;4417213;350922;126153;116578;
335x335;112225;4314291;303984;109100;100841;
336x336;112896;4621038;304689;126688;119069;
337x337;113569;4520058;308158;109646;101570;
338x338;114244;4359631;306680;110060;101830;
339x339;114921;4609744;307580;110302;102038;
340x340;115600;4656272;308472;110682;102468;
