Taille image;Nombre de points;Cycles scalaire;Cycles SIMD naif;Cycles SIMD opti;Cycles SIMD fusion;
666x666;443556;16413817;1148129;405280;563265;
667x667;444889;16490408;1149870;404938;563982;
668x668;446224;16484316;1151389;406112;564438;
669x669;447561;16641938;1161888;406080;565504;
670x670;448900;16715210;1157680;406802;566524;
671x671;450241;16788882;1156318;407356;566936;
672x672;451584;16886938;1158118;408312;568672;
673x673;452929;16746492;1159990;411214;569018;
674x674;454276;16919304;1164247;409103;569617;
675x675;455625;16873808;1163918;410792;571068;
676x676;456976;16976412;1164970;410737;571552;
677x677;458329;16964057;1166162;411392;572409;
678x678;459684;17023246;1168546;412532;573429;
679x679;461041;17088322;1170260;412794;574046;
680x680;462400;16992543;1204792;413103;574553;
681x681;463761;17104704;1174402;414229;575782;
682x682;465124;17203112;1175705;415190;577006;
683x683;466489;17237489;1177308;416219;577582;
684x684;467856;17249246;1178649;416447;578473;
685x685;469225;17496702;1188207;416834;579259;
686x686;470596;17417454;1182616;417235;579601;
687x687;471969;17514653;1186846;418308;580953;
688x688;473344;17550279;1195068;418176;581604;
689x689;474721;17628588;1187722;418531;582328;
690x690;476100;17517572;1233206;419594;583775;
691x691;477481;17849039;1190998;420310;584138;
692x692;478864;17710113;1349701;420904;584828;
693x693;480249;17801266;1204296;421336;585988;
694x694;481636;17654058;1205962;421579;587075;
695x695;483025;17864513;1207150;422182;586937;
696x696;484416;17895788;1221967;423060;588554;
697x697;485809;18416898;1257114;424236;589066;
698x698;487204;17795618;1248109;425018;593336;
699x699;488601;18081609;1215159;425482;591022;
700x700;490000;17939824;1206934;425723;591686;
701x701;491401;18069142;1208546;426262;592657;
702x702;492804;18035644;1210285;427154;593526;
703x703;494209;18371020;1221095;427580;594391;
704x704;495616;18430508;1213540;430477;594787;
705x705;497025;18233404;1198588;422880;589221;
706x706;498436;18395594;1199794;423408;590258;
707x707;499849;18405362;1202038;423911;590566;
708x708;501264;18820226;1203396;425818;592338;
709x709;502681;18776597;1205282;424502;592840;
710x710;504100;18682158;1226822;425216;593291;
711x711;505521;18757554;1208674;426028;594851;
712x712;506944;18505098;1210354;426496;595348;
713x713;508369;18726380;1221339;426930;595825;
714x714;509796;19178228;1268377;494896;596980;
715x715;511225;18833024;1214888;427982;597678;
716x716;512656;18748692;1216948;428610;598224;
717x717;514089;19118738;1221500;429424;599197;
718x718;515524;18956910;1220550;430126;600271;
719x719;516961;19287638;1248334;430658;600660;
720x720;518400;19271116;1224114;432718;602176;
721x721;519841;18947165;1226275;433293;603204;
722x722;521284;19101798;1274614;433348;603546;
723x723;522729;19280684;1236735;432972;604024;
724x724;524176;19692806;1230393;433756;605280;
725x725;525625;19640334;1242068;434074;605930;
726x726;527076;19687497;1247064;434606;606950;
727x727;528529;19622640;1236014;435445;607648;
728x728;529984;19583623;1248446;436468;608330;
729x729;531441;19919318;1275517;436991;609308;
730x730;532900;19689198;1241420;437796;610447;
731x731;534361;19688894;1271058;438936;611182;
732x732;535824;19934334;1243933;439772;612431;
733x733;537289;19933747;1246509;440147;613025;
734x734;538756;20047006;1247652;439952;617288;
735x735;540225;20014627;1249644;440464;614623;
736x736;541696;20197510;1251099;441520;615475;
737x737;543169;19909715;1281138;440932;615714;
738x738;544644;20043138;1254496;441784;616634;
739x739;546121;20110958;1265790;442545;617859;
740x740;547600;20216018;1266810;443161;618211;
741x741;549081;20444880;1285506;445905;619934;
742x742;550564;20711012;1326715;445778;623730;
743x743;552049;20378358;1320122;446358;658668;
744x744;553536;20905538;1264624;445555;621898;
745x745;555025;20663298;1265330;446486;721258;
746x746;556516;20457830;1268770;446917;623868;
747x747;558009;20579117;1270028;518285;624531;
748x748;559504;20859710;1272026;449034;625464;
749x749;561001;20930857;1318634;449346;626230;
750x750;562500;20933906;1275659;449978;627289;
751x751;564001;20975328;1289080;450417;628122;
752x752;565504;21019153;1278568;451752;628932;
753x753;567009;21256745;1302605;452622;629596;
754x754;568516;21309336;1282219;453068;630648;
755x755;570025;21324194;1300394;453982;631223;
756x756;571536;21350835;1294988;454060;631947;
757x757;573049;21689374;1296210;454418;632842;
758x758;574564;21511918;1288552;454370;633353;
759x759;576081;21412574;1290502;454958;634730;
760x760;577600;21551864;1304736;456016;635536;
761x761;579121;21476320;1303300;456524;636317;
762x762;580644;21632324;1295212;456880;637152;
763x763;582169;21814662;1305128;457524;638054;
764x764;583696;21851063;1307091;456867;638327;
765x765;585225;21954646;1300310;458170;639573;
766x766;586756;21966681;1313787;461456;741304;
767x767;588289;22139588;1304028;460116;640984;
768x768;589824;22166758;1308410;532947;642080;
769x769;591361;22101574;1529520;540428;787516;
770x770;592900;22009711;1619067;541386;791895;
771x771;594441;22271968;1533652;541860;789344;
772x772;595984;22541851;1548244;542697;790430;
773x773;597529;22286849;1591170;543271;794454;
774x774;599076;22178386;1542168;543426;792478;
775x775;600625;22253130;1543395;544257;793695;
776x776;602176;22429209;1589480;544716;793918;
777x777;603729;22388172;1588132;545190;795542;
778x778;605284;22356872;1571150;545446;796534;
779x779;606841;22713088;1549882;547593;797360;
780x780;608400;22682792;1581730;548980;798768;
781x781;609961;22724855;1575513;549651;799836;
782x782;611524;22933162;1562651;550106;800289;
783x783;613089;22930886;1567917;550915;801530;
784x784;614656;22938718;1575249;556376;803146;
785x785;616225;23099562;1581438;552853;803529;
786x786;617796;23145272;1604712;555734;804821;
787x787;619369;22987590;1565473;1111687;805748;
788x788;620944;22800471;1579670;552322;806454;
789x789;622521;23162278;1592742;553292;807740;
790x790;624100;23245938;1621805;554180;809243;
791x791;625681;23188370;1696940;555069;809374;
792x792;627264;23079539;1632758;555401;810728;
793x793;628849;23449850;1621770;558172;812278;
794x794;630436;23236899;1603016;558986;812484;
795x795;632025;23521457;1629680;559552;813804;
796x796;633616;23524976;1590805;560320;815244;
797x797;635209;23575338;1637960;562489;815952;
798x798;636804;23744944;1590046;563785;821423;
799x799;638401;23463990;1635142;564508;818294;
800x800;640000;23718931;1639090;563340;818025;
801x801;641601;23797441;1595246;563421;819972;
802x802;643204;23966998;1621912;565874;829166;
803x803;644809;23932197;1607398;564870;821701;
804x804;646416;24024341;1614079;565634;823056;
805x805;648025;24048768;1666202;566592;824223;
806x806;649636;24185956;1661398;568106;824922;
807x807;651249;24093886;1607542;567708;826412;
808x808;652864;24388652;1619344;568620;827596;
809x809;654481;24390806;1614539;569020;828268;
810x810;656100;24296368;1661772;571082;829518;
811x811;657721;24450436;1629042;568800;830129;
812x812;659344;24559789;1635997;569785;830619;
813x813;660969;24173974;1663314;570678;832162;
814x814;662596;24368271;1678108;571042;836796;
815x815;664225;24602903;1669788;572406;834095;
816x816;665856;24505716;1677132;572594;835360;
817x817;667489;24717341;1681294;663580;837034;
818x818;669124;24806861;1670152;575900;837380;
819x819;670761;24880998;1679490;575919;838791;
820x820;672400;25442717;1644486;576146;839730;
821x821;674041;25005364;1681310;578385;840258;
822x822;675684;24898793;1680005;578926;841020;
823x823;677329;25288054;1679210;668783;842753;
824x824;678976;25126382;1658494;578901;842840;
825x825;680625;25088194;1694876;579983;844662;
826x826;682276;25140826;1704700;582022;846482;
827x827;683929;25275707;1700130;582458;847057;
828x828;685584;25466012;1686462;582442;848010;
829x829;687241;25426823;1674014;582526;849135;
830x830;688900;25767330;1691846;582949;849480;
831x831;690561;25573414;1679112;584080;850802;
832x832;692224;25459476;1661460;584258;852060;
833x833;693889;25848458;1722364;579260;845026;
834x834;695556;25910621;1653514;579995;846392;
835x835;697225;26056558;1686418;582336;847952;
836x836;698896;26227720;1694807;583250;848276;
837x837;700569;26113024;1701217;582341;849636;
838x838;702244;26268646;1706346;582235;850387;
839x839;703921;26338976;1652414;582901;850994;
840x840;705600;26148505;1698630;582008;852635;
841x841;707281;26783447;1718890;582924;853579;
842x842;708964;26570679;1667770;585552;853726;
843x843;710649;26496623;1685168;584950;855325;
844x844;712336;26785914;1662702;597179;857250;
845x845;714025;26231302;1687316;586442;857061;
846x846;715716;26795634;1711418;586572;858177;
847x847;717409;26743082;1681707;586772;859435;
848x848;719104;26590852;1715239;587072;859551;
849x849;720801;26950520;1717169;588154;861860;
850x850;722500;27103499;1717934;590161;862438;
851x851;724201;27055398;1722272;590572;863024;
852x852;725904;27207902;1721748;592202;864634;
853x853;727609;27380435;1725936;593148;865649;
854x854;729316;27476836;1725244;593400;865742;
855x855;731025;27208082;1735998;595400;867930;
856x856;732736;27414536;1695030;596472;869318;
857x857;734449;27426350;1690398;596159;868762;
858x858;736164;27366256;1698268;596851;870786;
859x859;737881;27541938;1718160;597432;879074;
860x860;739600;27690555;1696133;597162;871860;
861x861;741321;27800378;1705676;598453;873595;
862x862;743044;27690312;1709218;597674;874287;
863x863;744769;27574350;1708660;598412;874869;
864x864;746496;27831833;1720647;600694;876778;
865x865;748225;27806616;1745533;601786;881438;
866x866;749956;27898612;1730642;601400;882462;
867x867;751689;27974814;1740014;602844;879730;
868x868;753424;28076019;1747044;697488;881064;
869x869;755161;28379979;1766825;603146;881258;
870x870;756900;28241732;1715697;603732;882576;
871x871;758641;28629400;1759658;605098;883954;
872x872;760384;28542457;1726790;605003;884766;
873x873;762129;28323851;1718796;606394;885528;
874x874;763876;28886329;1773862;607068;887395;
875x875;765625;28572873;1768119;607740;891275;
876x876;767376;28676645;1747602;607750;888884;
877x877;769129;28887805;1769942;608361;889922;
878x878;770884;28704365;1756904;611066;894188;
879x879;772641;28810690;1743654;612965;892112;
880x880;774400;29097260;1782190;612185;892820;
881x881;776161;29008050;1882199;615118;893726;
882x882;777924;28943841;1786499;615252;895111;
883x883;779689;29199381;1772962;615632;906707;
884x884;781456;29075722;1797116;616584;896873;
885x885;783225;29236399;1743965;614358;910762;
886x886;784996;29325381;1831024;615044;898541;
887x887;786769;29401916;1807542;615684;899092;
888x888;788544;29614804;1758954;617034;900820;
889x889;790321;29689523;1753132;617712;902570;
890x890;792100;29652784;1831867;618272;902863;
891x891;793881;29660573;1756154;619245;903920;
892x892;795664;29730477;1798556;621289;905230;
893x893;797449;29999168;1804692;621704;905240;
894x894;799236;29905586;1776455;622326;907574;
895x895;801025;30046100;1807558;622882;908142;
896x896;802816;30090136;1784802;623558;908650;
897x897;804609;30164048;2086324;724179;1084030;
898x898;806404;30052298;2070498;728720;1081728;
899x899;808201;30400392;2041968;726088;1082342;
900x900;810000;30263876;2032286;726288;1083472;
901x901;811801;30367064;2112337;728594;1084676;
902x902;813604;30178522;2097642;727610;1084924;
903x903;815409;30753606;2064234;729684;1088267;
904x904;817216;30883797;2085731;729866;1089659;
905x905;819025;30801402;2082209;733070;1089288;
906x906;820836;31085426;2074053;732224;1090785;
907x907;822649;30872028;2092383;730402;1092014;
908x908;824464;30978246;2092746;733860;1095070;
909x909;826281;31183858;2067099;734488;1095297;
910x910;828100;31284267;2056958;732774;1096432;
911x911;829921;31006709;2057345;735030;1096246;
912x912;831744;31018730;2058489;734372;1186144;
913x913;833569;31491808;2110120;737018;1100066;
914x914;835396;31451853;2110761;736922;1100361;
915x915;837225;31758788;2065616;734409;1102095;
916x916;839056;31557070;2117567;738094;1105141;
917x917;840889;31769980;2091958;738440;1105934;
918x918;842724;31377420;2099917;740140;1104591;
919x919;844561;31742997;2079448;739286;1112121;
920x920;846400;31836260;2096806;738828;1107784;
921x921;848241;31822084;2113990;738728;1108273;
922x922;850084;31943554;2147851;740832;1109614;
923x923;851929;32064176;2084211;743574;1109754;
924x924;853776;32067788;2131776;742624;1111324;
925x925;855625;32007610;2098447;744317;1113678;
926x926;857476;32065488;2090248;741721;1118018;
927x927;859329;32298649;2144700;742888;1115547;
928x928;861184;32053926;2094988;744158;1117844;
929x929;863041;32009710;2149502;745584;1117362;
930x930;864900;32551460;2109307;767768;1131322;
931x931;866761;32593452;2165932;752404;1121232;
932x932;868624;32499858;2162159;748806;1120986;
933x933;870489;32242450;2186142;752111;1122482;
934x934;872356;32888827;2135902;750562;1127330;
935x935;874225;32725190;2165272;750962;1124970;
936x936;876096;32976186;2124900;750845;1141912;
937x937;877969;32934971;2124780;753244;1127965;
938x938;879844;32577941;2117165;755436;1127415;
939x939;881721;32887878;2154850;754775;1139937;
940x940;883600;33133299;2131712;755804;1131118;
941x941;885481;33136904;2146250;756312;1132739;
942x942;887364;33385359;2173706;756396;1134348;
943x943;889249;33010062;2149049;766194;1135364;
944x944;891136;33582131;2130649;758254;1136060;
945x945;893025;33553548;2179168;762328;1138165;
946x946;894916;33480710;2166218;761176;1138836;
947x947;896809;33790908;2140627;762839;1140020;
948x948;898704;33829776;2151001;766872;1141627;
949x949;900601;33896632;2147335;766221;1143568;
950x950;902500;33931756;2181054;768395;1142626;
951x951;904401;33897368;2168098;768735;1148478;
952x952;906304;33796300;2200468;767423;1146568;
953x953;908209;34066327;2181482;768573;1147635;
954x954;910116;34475386;2200674;771544;1149333;
955x955;912025;34478380;2198463;773174;1150553;
956x956;913936;34521814;2183474;772901;1220860;
957x957;915849;34620450;2184608;773274;1158521;
958x958;917764;34781272;2169545;773098;1153800;
959x959;919681;34770230;2212500;773151;1154114;
960x960;921600;34279187;2210784;774302;1159754;
961x961;923521;34796441;2157644;764924;1147488;
962x962;925444;34831406;2206079;766162;1148194;
963x963;927369;34721548;2205488;768057;1150126;
964x964;929296;34773311;2167209;767684;1154324;
965x965;931225;35394028;2220193;778130;1153826;
966x966;933156;36623398;2167974;776195;1155138;
967x967;935089;35065414;2260738;777104;1166496;
968x968;937024;35255839;2203754;775625;1156964;
969x969;938961;35530405;2212446;772858;1158074;
970x970;940900;35245611;2211652;773687;1159158;
971x971;942841;35605194;2169196;774612;1159912;
972x972;944784;35310528;2216137;777093;1161120;
973x973;946729;35374940;2195719;775679;1168981;
974x974;948676;35645480;2226028;775378;1162750;
975x975;950625;35633162;2187500;778652;1165109;
976x976;952576;35601239;2213242;776860;1165696;
977x977;954529;35914667;2227383;779238;1225944;
978x978;956484;35537451;2236862;779249;1169103;
979x979;958441;36014393;2226640;781919;1169702;
980x980;960400;36351360;2189876;781736;1190582;
981x981;962361;36520602;2254996;782602;1184925;
982x982;964324;36303780;2269560;787297;1173694;
983x983;966289;36333132;2205356;783989;1173634;
984x984;968256;36086934;2327173;786166;1176701;
985x985;970225;36819071;2199461;787185;1203997;
986x986;972196;36533292;2257606;786740;1177584;
987x987;974169;36709304;2209968;790280;1179316;
988x988;976144;36815374;2207566;791134;1184587;
989x989;978121;36885832;2255018;792514;1181147;
990x990;980100;36794517;2228933;792922;1182802;
991x991;982081;37037340;2249130;793322;1194361;
992x992;984064;37092026;2269288;793578;1185534;
993x993;986049;36969647;2260388;795284;1188398;
994x994;988036;37089283;2271009;797090;1189416;
995x995;990025;37337038;2241460;800346;1189333;
996x996;992016;37281832;2262608;799460;1190104;
997x997;994009;37090840;2236798;802104;1190779;
998x998;996004;37554724;2260898;797510;1192484;
999x999;998001;37314156;2242030;796226;1193236;
1000x1000;1000000;37576287;2249560;799263;1195376;
1001x1001;1002001;37259190;2248322;817361;1209782;
1002x1002;1004004;37657236;2294781;802084;1197618;
1003x1003;1006009;37492062;2277760;802562;1199261;
1004x1004;1008016;37742194;2291755;804300;1199266;
1005x1005;1010025;38078378;2286155;803107;1205943;
1006x1006;1012036;38168398;2249886;799696;1219478;
1007x1007;1014049;37804014;2297430;804087;1201900;
1008x1008;1016064;38720409;2308637;805966;1215082;
1009x1009;1018081;38469260;2261206;809854;1208955;
1010x1010;1020100;38374378;2282824;805194;1206366;
1011x1011;1022121;38871560;2280036;806908;1209116;
1012x1012;1024144;38559684;2260886;817152;1218528;
1013x1013;1026169;38561013;2336108;808208;1210568;
1014x1014;1028196;38359244;2332328;811525;1211606;
1015x1015;1030225;38982156;2268301;812536;1226940;
1016x1016;1032256;38752882;2277484;812100;1213484;
1017x1017;1034289;39086118;2299975;813659;1215500;
1018x1018;1036324;39294728;2333382;813726;1216704;
1019x1019;1038361;39345076;2286081;815018;1217542;
1020x1020;1040400;38687578;2303589;816344;1219087;
1021x1021;1042441;39303996;2329696;817485;1225592;
1022x1022;1044484;39432645;2302610;820478;1222034;
1023x1023;1046529;39286562;2285658;820364;1232866;
1024x1024;1048576;39364440;2291584;822604;1225252;
1025x1025;1050625;39787084;2655898;962565;1439150;
1026x1026;1052676;39310354;2636313;968910;1420916;
1027x1027;1054729;39797842;2619322;972310;1443441;
1028x1028;1056784;39809082;2601913;962810;1443336;
1029x1029;1058841;39708088;2637825;967460;1432898;
1030x1030;1060900;39894413;2649162;970604;1426671;
1031x1031;1062961;40359083;2602836;967700;1430568;
1032x1032;1065024;40488278;2680683;975126;1432946;
1033x1033;1067089;40252242;2687556;974383;1431459;
1034x1034;1069156;40507450;2720482;973737;1435833;
1035x1035;1071225;40792634;2616156;975860;1432728;
1036x1036;1073296;40609838;2615376;977243;1484556;
1037x1037;1075369;40056816;2685500;977308;1435910;
1038x1038;1077444;41053988;2672146;981424;1484272;
1039x1039;1079521;40751720;2669454;981542;1445600;
1040x1040;1081600;40859870;2629046;981148;1450262;
1041x1041;1083681;40990558;2643660;981481;1443229;
1042x1042;1085764;41097132;2649226;982095;1443626;
1043x1043;1087849;41143942;2692486;987597;1505321;
1044x1044;1089936;41165602;2654464;980714;1515682;
1045x1045;1092025;41366641;2685940;983338;1475752;
1046x1046;1094116;41366404;2690338;984548;1448110;
1047x1047;1096209;40778446;2691594;984691;1449212;
1048x1048;1098304;41002557;2695802;987830;1452370;
1049x1049;1100401;41307824;2702606;985941;1451762;
1050x1050;1102500;41420632;2703970;980580;1457752;
1051x1051;1104601;41542836;2692748;981098;1455216;
1052x1052;1106704;41927320;2709118;981294;1508789;
1053x1053;1108809;41711210;2669912;984734;1461952;
1054x1054;1110916;42032086;2658680;987730;1463238;
1055x1055;1113025;42112418;2676880;992814;1505672;
1056x1056;1115136;41855263;2666135;997026;1472064;
1057x1057;1117249;42170051;2780600;1002141;1489429;
1058x1058;1119364;42115110;2714935;989892;1519866;
1059x1059;1121481;42189478;2748292;989826;1482309;
1060x1060;1123600;42090822;2722830;993113;1590878;
1061x1061;1125721;42227608;2731981;993003;1494098;
1062x1062;1127844;42389729;2726491;992396;1470637;
1063x1063;1129969;42618946;2705928;998424;1484712;
1064x1064;1132096;42686005;2759673;998896;1480760;
1065x1065;1134225;42945521;2757810;1004796;1513421;
1066x1066;1136356;42714220;2699776;994588;1489058;
1067x1067;1138489;43070421;2694744;1002391;1478334;
1068x1068;1140624;43260200;2723758;1001998;1479014;
1069x1069;1142761;43254518;2749300;1017028;1481475;
1070x1070;1144900;43245642;2769428;1023076;1490062;
1071x1071;1147041;43181745;2705004;1012620;1490415;
1072x1072;1149184;43606750;2730784;1011511;1484950;
1073x1073;1151329;43393914;2750322;1018522;1485668;
1074x1074;1153476;43630152;2756058;1028816;1490990;
1075x1075;1155625;43745868;2748831;1018782;1554716;
1076x1076;1157776;43713422;2813084;1019073;1489978;
1077x1077;1159929;44372785;2722656;1023978;1540708;
1078x1078;1162084;44374996;2726463;1021816;1534080;
1079x1079;1164241;43964770;2760341;1021662;1494988;
1080x1080;1166400;44017390;2785182;1023808;1505868;
1081x1081;1168561;44332576;2734173;1019788;1501514;
1082x1082;1170724;44414734;2735700;1022301;1548593;
1083x1083;1172889;44444172;2739882;1018494;1509056;
1084x1084;1175056;44718131;2762904;1019353;1522273;
1085x1085;1177225;44541163;2799590;1038480;1582271;
1086x1086;1179396;44604268;2740520;1039731;1504626;
1087x1087;1181569;44631234;2743056;1041264;1511932;
1088x1088;1183744;44500300;2788068;1029678;1557005;
1089x1089;1185921;44815074;2789012;1021577;1540472;
1090x1090;1188100;44843040;2895546;1023638;1510586;
1091x1091;1190281;44939470;2784786;1028764;1515699;
1092x1092;1192464;45210818;2753624;1142247;1519413;
1093x1093;1194649;44940454;2790942;1035407;1508126;
1094x1094;1196836;45253209;2784180;1025326;1526158;
1095x1095;1199025;45013281;2807015;1035834;1540044;
1096x1096;1201216;45282428;2739793;1038806;1511398;
1097x1097;1203409;45704400;2744868;1029372;1514800;
1098x1098;1205604;45645684;2751990;1039720;1558470;
1099x1099;1207801;45760148;2751286;1038495;1567732;
1100x1100;1210000;45606816;2752917;1044673;1516921;
1101x1101;1212201;45893786;2846173;1030696;1515895;
1102x1102;1214404;45845887;2766246;1030826;1566004;
1103x1103;1216609;46011292;2772808;1044088;1566134;
1104x1104;1218816;45738046;2801612;1039754;1519451;
1105x1105;1221025;45806898;2787746;1043166;1574736;
1106x1106;1223236;46459346;2776454;1042454;1556385;
1107x1107;1225449;46505990;2777848;1034766;1576583;
1108x1108;1227664;46183260;2776086;1032914;1541176;
1109x1109;1229881;46277852;2771948;1044810;1535194;
1110x1110;1232100;46001802;2839644;1046376;1582351;
1111x1111;1234321;46412844;2783583;1048567;1544444;
1112x1112;1236544;46856629;2803436;1049069;1530982;
1113x1113;1238769;47215190;2793218;1051231;1578470;
1114x1114;1240996;47226348;2879222;1061480;1536926;
1115x1115;1243225;46555695;2794147;1052084;1537809;
1116x1116;1245456;47032486;2842164;1049800;1538911;
1117x1117;1247689;47165371;2802768;1200449;1560652;
1118x1118;1249924;47092421;2902088;1066848;1541603;
1119x1119;1252161;46882501;2848397;1053851;1575059;
1120x1120;1254400;47165146;2831590;1055930;1589399;
1121x1121;1256641;47157330;2855186;1055014;1547197;
1122x1122;1258884;47283620;2825150;1055822;1555250;
1123x1123;1261129;47300684;2891406;1069506;1558106;
1124x1124;1263376;47148584;2822618;1059180;1616546;
1125x1125;1265625;46962836;2943608;1061970;1586296;
1126x1126;1267876;47320855;2842355;1067058;1563130;
1127x1127;1270129;47978331;2826544;1066470;1600890;
1128x1128;1272384;48190160;2894402;1062009;1558260;
1129x1129;1274641;47645977;2898148;1073072;1557462;
1130x1130;1276900;48284370;2871896;1068790;1554544;
1131x1131;1279161;48018954;2826745;1062730;1625776;
1132x1132;1281424;48269452;2922288;1065759;1570852;
1133x1133;1283689;48137312;2951440;1072225;1558608;
1134x1134;1285956;48697179;2966455;1071157;1588660;
1135x1135;1288225;48689394;2905964;1072738;1581789;
1136x1136;1290496;49038236;2844951;1073645;1586446;
1137x1137;1292769;48553922;2909614;1076169;1574552;
1138x1138;1295044;49003690;2941930;1070348;1578658;
1139x1139;1297321;49146316;2897103;1073476;1579577;
1140x1140;1299600;49221022;2925284;1077332;1572835;
1141x1141;1301881;49739919;2924710;1076935;1584624;
1142x1142;1304164;49907556;2874448;1090044;1577320;
1143x1143;1306449;49541638;2892800;1089594;1596179;
1144x1144;1308736;49903106;2876464;1083422;1587734;
1145x1145;1311025;50253985;2876892;1078277;1602693;
1146x1146;1313316;49883610;2961370;1084994;1632056;
1147x1147;1315609;49746744;2885613;1099632;1608195;
1148x1148;1317904;50161979;2870154;1089988;1591510;
1149x1149;1320201;50398970;2874458;1136430;1594726;
1150x1150;1322500;49953641;2920652;1082548;1582042;
1151x1151;1324801;50613775;2980194;1091606;1622448;
1152x1152;1327104;50422306;2890982;1093313;1601972;
1153x1153;1329409;50722014;3221412;1297686;1867264;
1154x1154;1331716;51069341;3260882;1310981;1812874;
1155x1155;1334025;51008132;3307794;1323928;1814940;
1156x1156;1336336;51184768;3260898;1300744;1861926;
1157x1157;1338649;51063652;3240650;1299799;1835276;
1158x1158;1340964;51270510;3359646;1323374;1830593;
1159x1159;1343281;51164856;3320885;1306884;1854340;
1160x1160;1345600;51347392;3278492;1311052;1870003;
1161x1161;1347921;51508327;3299108;1330874;1842946;
1162x1162;1350244;51540392;3294114;1327286;1856939;
1163x1163;1352569;51053866;3357930;1558232;1887930;
1164x1164;1354896;51571016;3252412;1315792;1829135;
1165x1165;1357225;51767029;3279910;1335052;1838760;
1166x1166;1359556;51552140;3258872;1328005;1841704;
1167x1167;1361889;51577486;3260908;1327012;1884264;
1168x1168;1364224;51929792;3377320;1312837;1840311;
1169x1169;1366561;51999868;3264696;1313589;1867408;
1170x1170;1368900;52036046;3375887;1313188;1883150;
1171x1171;1371241;52240306;3278856;1324397;1920678;
1172x1172;1373584;51292490;3348582;1325144;1842984;
1173x1173;1375929;51802861;3286096;1318874;1897602;
1174x1174;1378276;52126256;3305235;1324038;1896464;
1175x1175;1380625;51846307;3284145;1336936;1906540;
1176x1176;1382976;51713296;3286229;1371180;1890017;
1177x1177;1385329;52338576;3305893;1396356;1879645;
1178x1178;1387684;52289458;3299124;1347556;1923164;
1179x1179;1390041;52689092;3337750;1348934;1884421;
1180x1180;1392400;52821737;3318880;1330330;1902915;
1181x1181;1394761;53134692;3309158;1349032;1896590;
1182x1182;1397124;52743900;3301160;1340200;1867378;
1183x1183;1399489;53258476;3411494;1336253;1906970;
1184x1184;1401856;53786944;3306398;1396019;1909202;
1185x1185;1404225;53135982;3335457;1445424;1897295;
1186x1186;1406596;52746000;3324510;1384534;1916239;
1187x1187;1408969;53350888;3336162;1367760;1912750;
1188x1188;1411344;53694058;3399384;1366150;1917268;
1189x1189;1413721;53555837;3345248;1370150;1910318;
1190x1190;1416100;53895324;3381838;1358270;1882508;
1191x1191;1418481;53663345;3328472;1379840;1897752;
1192x1192;1420864;53427996;3401896;1378196;1883252;
1193x1193;1423249;54394538;3332884;1373620;2039161;
1194x1194;1425636;53807554;3388963;1357377;1971577;
1195x1195;1428025;53465452;3362338;1355414;1887427;
1196x1196;1430416;54072738;3339763;1377768;1885131;
1197x1197;1432809;54452478;3398336;1368128;1925060;
1198x1198;1435204;54587574;3353705;1350966;1890300;
1199x1199;1437601;54620632;3370928;1382576;1905638;
1200x1200;1440000;54665002;3395844;1391432;1901215;
1201x1201;1442401;54800070;3394221;1359282;1886112;
1202x1202;1444804;54312561;3377628;1360442;1896627;
1203x1203;1447209;54853813;3389926;1387370;1900375;
1204x1204;1449616;54782662;3373980;1390770;1918294;
1205x1205;1452025;54698521;3365151;1370466;1939572;
1206x1206;1454436;55070220;3390290;1366604;1944774;
1207x1207;1456849;55130267;3379428;1424298;1905434;
1208x1208;1459264;55355492;3395282;1431422;1944752;
1209x1209;1461681;55550468;3378810;1423690;1922688;
1210x1210;1464100;55999271;3381742;1387219;1932828;
1211x1211;1466521;55968385;3406666;1389579;1953966;
1212x1212;1468944;55574242;3388396;1442316;1918170;
1213x1213;1471369;56019508;3513756;1406372;1953093;
1214x1214;1473796;60129105;3663965;1524428;2033561;
1215x1215;1476225;62105944;3506316;1437483;1966430;
1216x1216;1478656;61687038;3711648;1391720;1972651;
1217x1217;1481089;61032776;3470885;1419453;2011231;
1218x1218;1483524;59800639;3406218;1435118;2033855;
1219x1219;1485961;60323617;3436857;1476730;2176024;
1220x1220;1488400;59800038;3492896;1384909;2029455;
1221x1221;1490841;58655576;3602481;1366920;1968990;
1222x1222;1493284;55856614;3452268;1374424;1922024;
1223x1223;1495729;56575970;3392214;1430762;1959382;
1224x1224;1498176;56563861;3435198;1429197;1923437;
1225x1225;1500625;56549994;3391807;1419257;1946772;
1226x1226;1503076;57038502;3474091;1371337;1955874;
1227x1227;1505529;57104137;3444835;1404654;1925936;
1228x1228;1507984;57298505;3402392;1454650;1962506;
1229x1229;1510441;57264599;3464900;1387933;1971924;
1230x1230;1512900;57419866;3544739;1393142;1967944;
1231x1231;1515361;57334312;3464656;1434524;1965084;
1232x1232;1517824;57605188;3425306;1405324;1949918;
1233x1233;1520289;57900358;3558039;1389105;1929788;
1234x1234;1522756;57988289;3435100;1396620;1990324;
1235x1235;1525225;57669752;3420112;1393764;1955643;
1236x1236;1527696;57160064;3445753;1414590;1976590;
1237x1237;1530169;58099906;3530710;1409684;1978004;
1238x1238;1532644;58175408;3491572;1415091;2001766;
1239x1239;1535121;57967234;3474714;1416748;2014368;
1240x1240;1537600;58766479;3603724;1460380;1983132;
1241x1241;1540081;58410534;3474140;1417346;2097673;
